project,t_per,x_per,l_per,o_per,s_per,count
mznwiki,0,0.0705523382526932,0,0,0.929447661747307,16059
zhwikinews,0,0.133704909819639,0,0,0.866295090180361,15968
ganwiki,0,0.0661834226284274,0,0,0.933816577371573,15865
azbwiki,0.00195497256732043,0.00195497256732043,0.000756763574446617,0.000693699943242732,0.99463959134767,15857
sewiki,0.0656857593273778,0.0949816079873883,0.0764582238570678,0.0273909616395166,0.73548344718865,15224
cawikiquote,0.17757259467416,0.17442794058611,0.2099558410277,0.173892680315804,0.264150943396226,14946
bugwiki,0,0.0014733458344495,0,0,0.998526654165551,14932
liwiki,0,0.0547879942829919,0,0.0017695501259103,0.943442455591098,14693
ptwikivoyage,0.241767345529858,0.241767345529858,0,0.244735933724543,0.27172937521574,14485
svwikisource,0.283615503008255,0.370365188190849,0,0,0.346019308800895,14294
diqwiki,7.47999102401077e-05,0.0303687635574837,0,0,0.969556436532276,13369
nlwikivoyage,0.272067080931347,0.273115220483642,0,0.135135135135135,0.319682563449876,13357
crhwiki,0.0357227722772277,0.360237623762376,0.099960396039604,0,0.504079207920792,12625
zh_classicalwiki,0,0.0295409181636727,0,0,0.970459081836327,12525
gvwiki,0,0.0579674395658609,0,0,0.942032560434139,12162
mrjwiki,0,0.0184208322866951,0,0,0.981579167713305,11943
sdwiki,0.00796846166750545,0.00771682603590002,0.000503271263210871,0.000335514175473914,0.98347592685791,11922
pamwiki,0.00224094657583363,0.0462531373252062,0.00448189315166726,0.00134456794550018,0.945679455001793,11156
pswiki,0.00351858534824973,0.0521472392638037,0.000541320822807651,0.00775893179357633,0.936033922771563,11084
bowiki,0,0.0125568698817106,0,0,0.987443130118289,10990
frwikiversity,0.00173341848371499,0.165039686160022,0.599215400054739,0,0.234011495301524,10961
kmwiki,0.0178935657333581,0.162525496013351,0.000556276654923048,0.00407936213610235,0.814945299462266,10786
nahwiki,9.42240648261566e-05,0.0277960991237162,0.00028267219447847,9.42240648261566e-05,0.971732780552153,10613
hifwiki,0.00351677597186579,0.0864936793080506,0,0.00123562399011501,0.908753920729969,10521
nsowiki,0.0498502560139117,0.0498502560139117,0,0.139696647666892,0.760602840305284,10351
avwiki,0.18035006285659,0.0725268349289237,0.25471424427038,0.0775553621506624,0.414853495793444,10341
frwikiquote,0,0.0209104552276138,0,0,0.979089544772386,9995
udmwiki,0.0891894640496288,0.113800467812468,0.204413708939286,0.0390521712600427,0.553544187938574,9833
szlwiki,0,0.0645425673599016,0,0,0.935457432640098,9761
emlwiki,0,0.0126807797107525,0,0,0.987319220289248,9542
vlswiki,0,0.0524300755078167,0,0,0.947569924492183,9403
ptwikiquote,0,0.00899046793760832,0,0,0.991009532062392,9232
scwiki,0.111731232217115,0.136244254760341,0,0,0.752024513022543,9138
fawikisource,0,0.442732973924524,0,0,0.557267026075476,9089
bnwikisource,0.273599819331527,0.223012646793135,0.141260162601626,0.077122854561879,0.285004516711834,8856
eswikiquote,0,0.00260741412538261,0,0.00204058496769074,0.995352000906927,8821
hakwiki,0.000113999088007296,0.0149338805289558,0,0.00148198814409485,0.983470132238942,8772
nds_nlwiki,0.0147732478240953,0.0508474576271186,0.0261108566193312,0.00755840586349061,0.900710032065964,8732
cswikinews,0,0,0,0,1,8657
